"동별(1)",동별(2),동별(3),2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",노원구,상계2동,8581,18745,9171,9574,18534,9092,9442,211,79,132
"합계",노원구,상계3.4동,12288,26536,13127,13409,26412,13088,13324,124,39,85
"합계",노원구,상계5동,10840,22154,10712,11442,21990,10666,11324,164,46,118
"합계",노원구,상계6.7동,13702,30214,13780,16434,30043,13713,16330,171,67,104
"합계",노원구,상계8동,9102,21280,10031,11249,21217,10019,11198,63,12,51
"합계",노원구,상계9동,8298,18916,8790,10126,18840,8766,10074,76,24,52
"합계",노원구,상계10동,7736,17889,8223,9666,17820,8194,9626,69,29,40
"합계",은평구,소계,214777,457745,215871,241874,453212,214139,239073,4533,1732,2801
"합계",은평구,녹번동,17531,35488,16629,18859,35083,16453,18630,405,176,229
"합계",은평구,불광1동,16309,33927,15833,18094,33687,15716,17971,240,117,123
"합계",은평구,불광2동,14181,26395,12630,13765,26127,12535,13592,268,95,173
"합계",은평구,갈현1동,7202,14086,6717,7369,13930,6666,7264,156,51,105
"합계",은평구,갈현2동,12726,26842,12630,14212,26568,12522,14046,274,108,166
"합계",은평구,구산동,13542,30781,14856,15925,30565,14771,15794,216,85,131
"합계",은평구,대조동,15537,27272,12476,14796,26878,12345,14533,394,131,263
"합계",은평구,응암1동,15150,32273,14927,17346,31935,14806,17129,338,121,217
"합계",은평구,응암2동,10949,26978,12979,13999,26751,12884,13867,227,95,132
"합계",은평구,응암3동,12513,23293,11147,12146,22707,10916,11791,586,231,355
"합계",은평구,역촌동,21329,44672,20835,23837,44223,20669,23554,449,166,283
"합계",은평구,신사1동,12023,25820,12213,13607,25594,12135,13459,226,78,148
"합계",은평구,신사2동,9063,19591,9581,10010,19371,9515,9856,220,66,154
"합계",은평구,증산동,6583,15287,7323,7964,15140,7261,7879,147,62,85
"합계",은평구,수색동,8596,21278,10228,11050,21088,10145,10943,190,83,107
"합계",은평구,진관동,21543,53762,24867,28895,53565,24800,28765,197,67,130
"합계",서대문구,소계,147178,315872,145940,169932,299810,141189,158621,16062,4751,11311
"합계",서대문구,천연동,7612,16442,7742,8700,16246,7631,8615,196,111,85
"합계",서대문구,북아현동,7012,15427,7409,8018,15076,7259,7817,351,150,201
"합계",서대문구,충현동,9927,19590,9330,10260,19097,9104,9993,493,226,267
"합계",서대문구,신촌동,15558,27840,10259,17581,20650,8751,11899,7190,1508,5682
"합계",서대문구,연희동,18697,36573,16794,19779,33030,15596,17434,3543,1198,2345
"합계",서대문구,홍제1동,11204,24512,11345,13167,24256,11242,13014,256,103,153
"합계",서대문구,홍제3동,7924,17351,8180,9171,17157,8108,9049,194,72,122
"합계",서대문구,홍제2동,5223,11894,5511,6383,11803,5477,6326,91,34,57
"합계",서대문구,홍은1동,10415,23548,11223,12325,23322,11143,12179,226,80,146
"합계",서대문구,홍은2동,12745,28074,13279,14795,27047,12903,14144,1027,376,651
"합계",서대문구,남가좌1동,6395,17517,8327,9190,17264,8239,9025,253,88,165
"합계",서대문구,남가좌2동,13244,29931,14019,15912,28277,13453,14824,1654,566,1088
"합계",서대문구,북가좌1동,6714,17238,8241,8997,17095,8170,8925,143,71,72
"합계",서대문구,북가좌2동,14508,29935,14281,15654,29490,14113,15377,445,168,277
"합계",마포구,소계,180580,367787,169243,198544,356487,165403,191084,11300,3840,7460
"합계",마포구,아현동,12118,29088,13406,15682,28566,13198,15368,522,208,314
"합계",마포구,공덕동,18498,36564,16976,19588,35843,16662,19181,721,314,407
"합계",마포구,도화동,9294,20457,9658,10799,20213,9538,10675,244,120,124
"합계",마포구,용강동,9266,21542,10073,11469,21165,9893,11272,377,180,197
"합계",마포구,대흥동,8689,16028,7292,8736,14221,6746,7475,1807,546,1261
"합계",마포구,염리동,7710,17520,8177,9343,16740,7975,8765,780,202,578
"합계",마포구,신수동,10109,22326,10794,11532,21955,10653,11302,371,141,230
"합계",마포구,서강동,12294,25121,11841,13280,24345,11620,12725,776,221,555
"합계",마포구,서교동,15135,25829,11340,14489,23436,10664,12772,2393,676,1717
"합계",마포구,합정동,8865,15849,7178,8671,15446,7042,8404,403,136,267
"합계",마포구,망원1동,10017,18658,8635,10023,18336,8496,9840,322,139,183
"합계",마포구,망원2동,8176,17292,7971,9321,17062,7887,9175,230,84,146
"합계",마포구,연남동,8296,14747,6754,7993,13825,6417,7408,922,337,585
"합계",마포구,성산1동,9644,18678,8455,10223,18300,8317,9983,378,138,240
"합계",마포구,성산2동,19676,38303,16836,21467,37924,16742,21182,379,94,285
"합계",마포구,상암동,12793,29785,13857,15928,29110,13553,15557,675,304,371
"합계",양천구,소계,179105,424565,206166,218399,421247,204885,216362,3318,1281,2037
"합계",양천구,목1동,10312,29938,14387,15551,29799,14320,15479,139,67,72
"합계",양천구,목2동,13246,27981,13367,14614,27731,13274,14457,250,93,157
"합계",양천구,목3동,10079,20665,9766,10899,20469,9689,10780,196,77,119
"합계",양천구,목4동,9889,23659,11455,12204,23485,11399,12086,174,56,118
"합계",양천구,목5동,13528,40478,19981,20497,40354,19937,20417,124,44,80
"합계",양천구,신월1동,9879,18691,9519,9172,18426,9425,9001,265,94,171
"합계",양천구,신월2동,8706,20537,9945,10592,20385,9895,10490,152,50,102
"합계",양천구,신월3동,7420,13675,7177,6498,13463,7090,6373,212,87,125
"합계",양천구,신월4동,6767,16666,8022,8644,16571,7990,8581,95,32,63
"합계",양천구,신월5동,6359,13757,6748,7009,13608,6690,6918,149,58,91
"합계",양천구,신월6동,5309,13643,6656,6987,13574,6627,6947,69,29,40
"합계",양천구,신월7동,9068,17979,8673,9306,17819,8625,9194,160,48,112
"합계",양천구,신정1동,6957,19432,9449,9983,19342,9406,9936,90,43,47
"합계",양천구,신정2동,6885,18702,9131,9571,18612,9092,9520,90,39,51
"합계",양천구,신정3동,18375,45373,21885,23488,45089,21768,23321,284,117,167
"합계",양천구,신정4동,16650,31760,15221,16539,31091,14960,16131,669,261,408
"합계",양천구,신정6동,8216,23867,11543,12324,23826,11523,12303,41,20,21
"합계",양천구,신정7동,11460,27762,13241,14521,27603,13175,14428,159,66,93
"합계",강서구,소계,274577,555152,264507,290645,548515,261729,286786,6637,2778,3859
"합계",강서구,염창동,16865,41148,19652,21496,40993,19600,21393,155,52,103
"합계",강서구,등촌1동,14299,25110,11485,13625,24846,11406,13440,264,79,185
"합계",강서구,등촌2동,8638,19036,9259,9777,18886,9195,9691,150,64,86
"합계",강서구,등촌3동,15052,28663,13407,15256,28460,13322,15138,203,85,118
"합계",강서구,화곡1동,28307,50860,24415,26445,49621,23939,25682,1239,476,763
"합계",강서구,화곡2동,8263,17012,8128,8884,16671,7991,8680,341,137,204
"합계",강서구,화곡3동,9662,20641,9788,10853,20440,9708,10732,201,80,121
