자치구,관서명,구분,주소,위도,경도
송파구,신천파출소,파출소,서울특별시 송파구  올림픽로35길 12 ,37.5201681247815,127.112554886342
송파구,위례파출소,파출소,서울특별시 송파구 위례순환로 369,37.4778540602867,127.145875182176
노원구,당현지구대,지구대,서울특별시 노원구  노원로17길 64번지,37.6420207179331,127.068355620094
노원구,월계지구대,지구대,서울특별시 노원구  월계로55길 58,37.6336796200966,127.059287234129
노원구,화랑지구대,지구대,서울특별시 노원구  동일로 1034,37.6225681689702,127.074597834957
노원구,노원역지구대,지구대,서울특별시 노원구 노원로431,37.6550055224449,127.066916404341
노원구,불암지구대,지구대,서울특별시 노원구  한글비석로 277,37.652436756043,127.077338666344
노원구,마들지구대,지구대,서울특별시 노원구  한글비석로 489 마들지구대,37.6645870330059,127.063618910994
노원구,당고개파출소,파출소,서울특별시 노원구 수락산로2길 77,37.6670283056584,127.075851789116
노원구,상계1파출소,파출소,서울특별시 노원구  동일로 1693,37.6796812226531,127.055047135943
서초구,남태령지구대,지구대,서울특별시 서초구  동작대로 34,37.4794964653886,126.982182285789
서초구,서래파출소,파출소,서울특별시 서초구  신반포로 16길 15-14,37.5021102658365,126.996967303365
서초구,이수파출소,파출소,서울특별시 서초구  동광로19길 38,37.4941486658541,126.988846953989
서초구,방배1파출소,파출소,서울특별시 서초구  효령로 31길 64,37.4839605943547,126.995340912361
은평구,불광지구대,지구대,서울특별시 은평구  연서로 290,37.6214183477987,126.926581355932
은평구,연신내지구대,지구대,서울특별시 은평구  갈현로 195,37.6152127182381,126.912708898719
은평구,진관파출소,파출소,서울특별시 은평구  진관3로 38 진관파출소,37.6399452531738,126.920899644798
은평구,대조파출소,파출소,서울특별시 은평구 진흥로13길3-33 (대조동),37.6086729484427,126.924270934554
도봉구,창동지구대,지구대,서울특별시 도봉구 노해로 392,37.6522871533292,127.051715013765
도봉구,신창파출소,파출소,서울특별시 도봉구  도봉로104길 49-5,37.6435195429165,127.034616372573
도봉구,방학파출소,파출소,서울특별시 도봉구  도봉로145길 45 방학파출소,37.6645033394704,127.040015484734
도봉구,신방학파출소,파출소,서울특별시 도봉구  시루봉로5길 10,37.6585099720895,127.02718505544
도봉구,도봉1파출소,파출소,서울특별시 도봉구 도봉로169나길 4 (도봉동),37.6794736285741,127.043412012604
도봉구,도봉2파출소,파출소,서울특별시 도봉구 도봉로 180나길 33,37.6839933331141,127.049278285409
도봉구,쌍문파출소,파출소,서울특별시 도봉구  방학로3길 132,37.6575955499116,127.038002354359
도봉구,숭미파출소,파출소,서울특별시 도봉구  노해로 139 숭미파출소,37.6475127555581,127.025582768186
강남구,도곡지구대,지구대,서울특별시 강남구  언주로 426,37.5013327562925,127.043717717768
강남구,대치지구대,지구대,서울특별시 강남구  삼성로 203,37.4949522265801,127.062649578604
강남구,수서파출소,파출소,서울특별시 강남구  밤고개로1길 48,37.489127606674,127.104813214036
강남구,대왕파출소,파출소,서울특별시 강남구  헌릉로 623,37.4651760424395,127.10736243987
강남구,일원지구대,지구대,서울특별시 강남구  일원로3길 35,37.4924161491256,127.083373556556
강남구,개포지구대,지구대,서울특별시 강남구  개포로 261,37.4797783863169,127.051167625269
